15:34:58.344 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yan.http_api.controller.TestOrderController], using SpringBootContextLoader
15:35:01.562 [main] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
15:35:02.202 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:45a370db-4d85-42e7-bcce-c60a4cd03978;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
15:35:03.138 [main] INFO  liquibase.database - Set default schema name to PUBLIC
15:35:03.541 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
15:35:04.071 [main] INFO  liquibase.changelog - Creating database history table with name: PUBLIC.DATABASECHANGELOG
15:35:04.076 [main] INFO  liquibase.changelog - Reading from PUBLIC.DATABASECHANGELOG
15:35:04.208 [main] INFO  liquibase.changelog - Table address created
15:35:04.233 [main] INFO  liquibase.changelog - Table client created
15:35:04.247 [main] INFO  liquibase.changelog - Table orderr created
15:35:04.249 [main] INFO  liquibase.changelog - ChangeSet db/changelog/changeset/1-create-tables.yaml::1-create-tables::Yan ran successfully in 60ms
15:35:04.268 [main] INFO  liquibase.lockservice - Successfully released change log lock
15:35:04.592 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
15:35:04.708 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.12.Final
15:35:05.075 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
15:35:05.286 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
15:35:06.744 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
15:35:06.762 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
15:35:08.997 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
15:35:08.997 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
15:35:09.000 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
15:35:09.042 [main] INFO  c.y.h.controller.TestOrderController - Started TestOrderController in 9.942 seconds (JVM running for 12.542)
15:35:09.087 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
15:35:09.088 [SpringApplicationShutdownHook] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
15:41:13.635 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yan.http_api.controller.TestOrderController], using SpringBootContextLoader
15:41:13.648 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.yan.http_api.controller.TestOrderController]: no resource found for suffixes {-context.xml, Context.groovy}.
15:41:13.650 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.yan.http_api.controller.TestOrderController]: TestOrderController does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:41:14.002 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.yan.http_api.HttpApiApplication for test class com.yan.http_api.controller.TestOrderController
15:41:14.186 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
15:41:14.238 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2bd2b28e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@16746061, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@57fd91c9, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6cfcd46d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@52045dbe, org.springframework.test.context.support.DirtiesContextTestExecutionListener@674658f7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5c8eee0f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@565b064f, org.springframework.test.context.event.EventPublishingTestExecutionListener@26425897, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@73163d48, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@58c34bb3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@56a4479a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@62163b39, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@20a8a64e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@62f4ff3b]
